#Main界面	
#Mod模块	
#SkillTip	
#UI	
#UI系列	
#交易	
#交易接口	
#任务	
#休息界面	
#传言	
#传送界面	
#传闻	
#修理界面	
#共享	
#创角界面	
#区域	
#后面有留空格键是要做排版	
#地图接口(任务接口)	
#天赋接口(感悟接口)	
#存读档	
#异常状态TIP	
#感悟	
#成就界面	
#战斗	
#战斗界面	
#战斗讯息	
#战斗跳的讯息	
#技能界面(武学)	
#拆解界面	
#按键TIP	
#按键提示对应	
#接口名称	
#方位条界面	
#淬炼界面	
#游戏提示	
#游戏难度	
#炼金接口(生产接口)	
#热键设定接口	
#熔炼界面	
#环境设定接口	
#画面提示	
#称号界面	
#系统接口	
#结局 02	
#结局 03	
#结局 04	
#结局 05	
#结局 06	
#结局 07	
#结局 08	
#结局 09	
#结局 10	
#结局 11	
#结局 12	
#结局 13	
#结局 14	
#结局 15	
#结局 16	
#结局 17	
#结局 18	
#结局 19	
#结局 20	
#结局 21	
#结局 22	
#结局 23	
#结局 24	
#结局00	
#结局01	
#自宫	
#范围选择	
#说明分类	
#追踪的任务接口	
#重锻界面	
#锻造	
#锻造界面	
#队伍	
#队伍接口(物品接口)	
#阴阳	
#阵营单位	
AchievementMode0	Single game system
AchievementMode1	Overall cumulative system
AchievementType0	General
AchievementType1	Combat
AchievementType2	Plot
AchievementType3	Martial Arts
AchievementType4	Ability
AchievementType5	Reputation
AchievementType6	Collection
ActivateA	Please select {0}.
AdditiveEffect	Additional effects
Affected0	Teammate.
Affected1	Our side
Affected2	Enemy
AfterDamageTalent	Cumulative {0} {1} % for each attack.
APRecovery	Restore energy
Area0	Jianghu Sanren
Area1	Gongshi Village
Area10	Chidan Palace
Area101	Blacksmith's Shop
Area102	Inn
Area103	Pawnshop
Area104	Fur shop
Area105	Butcher's shop
Area106	Grocery Stores
Area107	Pharmacy
Area108	Vegetable shop
Area109	Fruit Shop
Area11	Shijia Salt Gang
Area110	Fish Shop
Area111	Woodsmen's Union
Area112	Cloth shop
Area113	Food Shop
Area114	Food hall
Area115	Jade Workshop
Area12	Taihua Gate
Area13	Leopard King's Stronghold
Area14	White Horse Residence
Area15	Tibetan Herb Shed
Area16	Nanzhao Duan
Area17	Qingzhai
Area18	He Family Horse Gang
Area19	Ye Family Horse Gang
Area2	Shu Yuji
Area20	Karma Temple
Area21	The Beast
Area22	Pretty Dream Pavillion
Area23	Enchanted Waterfall Village
Area24	Fuxian Academy
Area25	Temple of Heavenly Dragons
Area26	Fancy Feast Society
Area27	Wolf Barbarians
Area28	Valley of Goldstone
Area29	Ginseng King Mountain
Area3	Dayan Town
Area30	Hundred Beasts Villa
Area31	Quarry
Area32	Livestock
Area4	Eagle Hunter Settlement
Area5	Qingtian Stronghold
Area6	First Fortune Winery
Area7	Zhangren Village
Area8	Xichuan Army
Area9	Qingcheng School
AreaNear	Nearby
AreaNone	Field area
ArrivalEndOfWorld	The area ahead is not available. Please turn back.
BaseEffect	Special effects
BaseProperty	Basic attributes
BattleInfoApRecovery	Energy restored per round
BattleInfoCountAttackSkill	Counter Attack
BeginUnitTalent	Cumulative {0} {1} % per round
BluePrintType1	Fists
BluePrintType2	Sword
BluePrintType3	Blades
BluePrintType4	Spears
BluePrintType5	Shorts
BluePrintType6	Arrows
BluePrintType7	Armor
Cancel	Cancel
CannotCapture	This target cannot be tamed.
CaptureFailure	Taming Failure
CaptureSuccess	Taming Success.
CharacterProperty108	Money
CharacterProperty109	Arrogance
CharacterProperty110	Ethics
CharacterProperty111	Jianghu reputation
CharacterProperty112	Yin and Yang
CharacterProperty196	Critical
CharacterProperty197	Release
CharacterProperty198	Combo
CharacterProperty199	Counterattack
CharacterProperty200	Trick
CharacterProperty301	Fist
CharacterProperty302	Sword
CharacterProperty303	Blade
CharacterProperty304	Spear
CharacterProperty305	Hidden
CharacterProperty306	Short
CharacterProperty307	Medical
CharacterProperty308	Poison
CharacterProperty309	Qi
CharacterProperty310	Qinggong
CharacterProperty321	Herbology
CharacterProperty322	Mineralogy
CharacterProperty323	Thievery
CharacterProperty324	Merchantile
CharacterProperty400	Internal Injuries
CharacterProperty401	Trauma
CharacterProperty402	Poisoned
CharacterProperty403	Sealed
CharacterProperty404	Tricked
CharacterProperty405	Dizziness
CharacterProperty406	Split Ribs
CharacterProperty407	Wrong bone
CharacterProperty408	Exhausted
CharacterProperty409	Frozen
CharacterProperty410	Drunk
CharacterProperty50	HP
CharacterProperty51	MAXHP
CharacterProperty52	MP
CharacterProperty53	MAXMP
CharacterProperty54	ENERGY
CharacterProperty55	MAXENERGY
CharacterProperty58	Strength
CharacterProperty59	Intelligence
CircleSelector	Region
Combo	Combo
ComboEffect	Additional energy {0} points when Combo is initiated
CounterAttack	Counterattack
CounterAttackEffect	When counterattacking, return {0} to the enemy.
Critical	Critical
CriticalEffect	When a Critical strike add {0} % to damage
CurrentMod	Current Modules
CurrentTurn	Round {0}
cutyourself	Practicing the Book of Broken Flowers
cutyourself02	To practice this martial art you must be castrated, do you want to continue practicing?
DayFromBeginning	Day {0}
Delete	Delete archive
DeleteFile	Do you want to delete this file?
Deleting	is on its way to the main menu
DifficultyDetails	Detailed description
DifficultyWarning0	The game difficulty level currently selected is the Purgatory level, and some of the game content will be somewhat different.
DifficultyWarning1	.
DifficultyWarning2	Combat value adjustment: Self-unit's power will be weakened, while enemy unit's power will be increased.
DifficultyWarning3	Combat mechanic added: If any unit of your own force (green) dies, the battle will be lost.
DifficultyWarning4	Change in battle rules: The victory conditions of some battles may be changed, such as friendly battle.
DifficultyWarning5	Beast King Book Adjustment: The initial number of rounds a Beast King can fight has increased.
DifficultyWarning6	
DifficultyWarning7	Click on the detailed instructions button below, or open the help page to see more explanations about the difficulty level,
DifficultyWarning8	If you want to change the difficulty level, please re-do the questionnaire and choose another difficulty level to play,
DifficultyWarning9	Enjoy your trip!
DirectionUnit	Square
Disable	Disable
Durability	Durability
EffectLevel1	Mild
EffectLevel2	Moderate
EffectLevel3	High
Enable	Enable
EquipPartType0	Body
EquipPartType1	Pattern
EquipPartType10	Bone
EquipPartType11	Strings
EquipPartType12	Dart
EquipPartType13	Bow
EquipPartType14	Poison
EquipPartType15	Casting Furnace
EquipPartType2	Handle
EquipPartType3	Ring
EquipPartType4	Head
EquipPartType5	Ribbon
EquipPartType6	Pole
EquipPartType7	Tail
EquipPartType8	Lining
EquipPartType9	Top
Final00_00	Fantasy Bubble
Final00_01	With the matter-of-fact voice of the announcer,
Final00_02	The big, cold screen is like a diversionary pastime between major news stories,
Final00_03	has been temporarily interrupting the broadcast of your disappearance,
Final00_04	No one knows that you have passed away in some distant world.
Final00_05	Even if your friends and family are running around...,
